"fulldomain","b_fulldomain","category"
"alcott.co.th",NULL,"CO"
"tqe.co.th",NULL,"CO"
"takuapacity.go.th",NULL,"GO"
"firmer.co.th",NULL,"CO"
"เจเน็ต.th",NULL,"IDN"
"kota.co.th",NULL,"CO"
"ซัคเซสไอที.th",NULL,"IDN"
"สมาร์ทเน็ต.th",NULL,"IDN"
"kuramo.co.th",NULL,"CO"
"jfb.co.th",NULL,"CO"
"wire-engineering.co.th",NULL,"CO"
"บรบือ.th",NULL,"IDN"
"citysports.co.th",NULL,"CO"
"มหรรณพาราม.th",NULL,"IDN"
"generaloutsourcing.co.th",NULL,"CO"
"cnnt.co.th",NULL,"CO"
"microlink.co.th",NULL,"CO"
"goldsmith.ac.th",NULL,"AC"
"playwork.co.th",NULL,"CO"
"เอสดีบริลเลี่ยน.th",NULL,"IDN"
"เอไลฟ์.th",NULL,"IDN"
"jft.co.th",NULL,"CO"
"colourdoctor.co.th",NULL,"CO"
"bkf.co.th",NULL,"CO"
"ฮักไก.th",NULL,"IDN"
"แอปเปิ้ล.th",NULL,"IDN"
"dynamicflowline.co.th",NULL,"CO"
"tactio.in.th",NULL,"IN"
"hydroair.co.th",NULL,"CO"
"ptbk.ac.th",NULL,"AC"
"somfy.co.th","ซอมฟี่.ธุรกิจ.ไทย","CO"
"บริบูรณ์ศิลป์.th",NULL,"IDN"
"spoa.co.th",NULL,"CO"
"สวนสวย.th",NULL,"IDN"
"tgda.co.th",NULL,"CO"
"daidothailand.co.th",NULL,"CO"
"mc.co.th",NULL,"CO"
"มทร-อีสาน.th",NULL,"IDN"
"penanshin.co.th",NULL,"CO"
"ซีพีเอสสตาร์ช.th",NULL,"IDN"
"kansei.co.th","แคนเซอิ.ธุรกิจ.ไทย","CO"
"ฮาร์เปอร์ส.th",NULL,"IDN"
"asras.co.th",NULL,"CO"
"sunplac.co.th",NULL,"CO"
"กิจไพบูลย์อิมปอร์ต.th",NULL,"IDN"
"dsr.ac.th",NULL,"AC"
"isolutions.co.th",NULL,"CO"
"com-press.co.th",NULL,"CO"
"sponsor.co.th",NULL,"CO"
"kimberleylaw.co.th",NULL,"CO"
"ทีพีเอสมีเดีย.th",NULL,"IDN"
"มาร์เวล.th",NULL,"IDN"
"mgmgrand.in.th","เอ็มจีเอ็มแกรนด์.ไทย","IN"
"mgmmirage.in.th","เอ็มจีเอ็มมิราจ.ไทย","IN"
"river.co.th",NULL,"CO"
"แอร์คอมดีดี.th",NULL,"IDN"
"oceanblu.co.th",NULL,"CO"
"อนุบาลนครหาดใหญ่.th",NULL,"IDN"
"mpi.co.th",NULL,"CO"
"tsign.co.th","ทีไซน์.ธุรกิจ.ไทย","CO"
"thainipponmeat.co.th",NULL,"CO"
"เอ็มดีทัวร์.th",NULL,"IDN"
"it-cat.co.th","ไอที-แคท.ธุรกิจ.ไทย","CO"
"สตาร์ทัวร์.th",NULL,"IDN"
"mss.co.th",NULL,"CO"
"กาญจนาภิเษก.th",NULL,"IDN"
"กรมแพทย์ทหารเรือ.th",NULL,"IDN"
"เอสซัพพลายแอนด์ทูลส์.th",NULL,"IDN"
"นส.th",NULL,"IDN"
"mosurin.go.th","ทม-สุรินทร์.รัฐบาล.ไทย","GO"
"app.co.th","เอพีพี.ธุรกิจ.ไทย","CO"
"spr.co.th",NULL,"CO"
"intenterprise.co.th",NULL,"CO"
"เทคนิคประจวบฯ.th",NULL,"IDN"
"intercooling.co.th",NULL,"CO"
"r-and-a.co.th",NULL,"CO"
"jvkorat.go.th",NULL,"GO"
"inc.co.th",NULL,"CO"
"proservice.co.th",NULL,"CO"
"เอกอินทรา.th",NULL,"IDN"
"ppw.ac.th","โรงเรียนพนมไพรวิทยาคาร.ศึกษา.ไทย","AC"
"tcis.co.th","ทีซีไอเอส.ธุรกิจ.ไทย","CO"
"chuokoki.co.th",NULL,"CO"
"unionfrost.co.th",NULL,"CO"
"progresshr.co.th",NULL,"CO"
"nihongprecision.co.th",NULL,"CO"
"tnb.co.th",NULL,"CO"
"arai.co.th",NULL,"CO"
